" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"10","N","Grace Is Gone","n/a","$8,998","-","6","-","$1,500","$8,998","1","USA"
"11","N"," Un Novio para mi mujer","Importadora","$7,334","-","6","-","$1,222","$7,334","1","Argentina"
"12","5","District 9","Sony","$4,294","-64.9%","14","-9","$307","$129,844","4","Unknown"
"13","-","I Love You Man","UIP","$2,002","-","6","-","$334","$222,948","4","USA"
"14","6"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$1,935","-79.8%","2","-12","$968","$145,262","5","Unknown"
"15","10","Shorts","Importadora","$939","-76.0%","9","-6","$104","$187,228","7","Unknown"
"16","7"," Cloudy with a Chance of Meatballs","Sony","$848","-90.7%","2","-10","$424","$534,077","8","Unknown"
"17","11"," Tinker Bell and the Lost Treasure","Disney","$778","-75.1%","2","-6","$389","$188,258","10","Unknown"
"18","8","Surrogates","Disney","$298","-93.5%","1","-10","$298","$207,860","6","Unknown"
"19","16","Year One","Sony","$44","-74.4%","1","-","$44","$79,745","7","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Michael Jackson's This Is It","Sony","$179,445","-","30","-","$5,982","$179,445","1"
"2","-","The Final Destination","Importadora","$73,323","-","28","-","$2,619","$454,810","3"
"3","-","Saw VI","Disney","$63,829","-","27","-","$2,364","$214,054","2"
"4","-","Imagine That","UIP","$36,464","-","17","-","$2,145","$98,343","2"
"5","1","District 9","Sony","$12,224","-57.1%","23","-","$531","$112,831","3"
"6","2"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$9,587","-60.1%","14","-","$685","$143,326","4"
"7","3"," Cloudy with a Chance of Meatballs","Sony","$9,081","-41.3%","12","-17","$757","$522,354","7"
"8","-","Surrogates","Disney","$4,569","-","11","-","$415","$206,542","5"
"9","-","Land of the Lost","UIP","$4,527","-","12","-","$377","$183,612","5"
"10","-","Shorts","Importadora","$3,904","-","15","-","$260","$179,873","6"
"11","-"," Tinker Bell and the Lost Treasure","Disney","$3,123","-","8","-","$390","$186,719","9"
"12","-","Orphan","Importadora","$1,548","-","12","-","$129","$45,446","4"
"13","-","Ghosts of Girlfriends Past","Importadora","$1,330","-","6","-","$222","$73,108","5"
"14","-","My Sister's Keeper","Importadora","$838","-","6","-","$140","$51,272","5"
"15","4","Julie & Julia","Sony","$797","-65.5%","1","-5","$797","$47,150","5"
"16","7","Year One","Sony","$172","-11.8%","1","-1","$172","$78,921","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","2","District 9","Sony","$28,515","-31.8%","23","-","$1,240","$90,652","2"
"2","3"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$24,032","-31.0%","14","-","$1,717","$120,782","3"
"3","5"," Cloudy with a Chance of Meatballs","Sony","$15,472","-33.0%","29","-4","$534","$510,756","6"
"4","14","Julie & Julia","Sony","$2,309","-37.6%","6","-8","$385","$45,594","4"
"5","13","The Ugly Truth","Sony","$806","-80.2%","3","-4","$269","$283,896","7"
"6","16","Aliens in the Attic","Fox","$518","-76.3%","3","-14","$173","$192,383","7"
"7","15","Year One","Sony","$195","-92.0%","2","-7","$98","$78,559","5"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Final Destination","Importadora","$156,974","-","28","-","$5,606","$156,974","1"
"2","N","District 9","Sony","$41,833","-","23","-","$1,819","$41,833","1"
"3","4"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$34,826","-26.7%","14","-","$2,488","$89,760","2"
"4","N","I Love You Man","UIP","$23,879","-","15","-","$1,592","$23,879","1"
"5","1"," Cloudy with a Chance of Meatballs","Sony","$23,086","-69.0%","33","+21","$700","$491,950","5"
"6","2","Land of the Lost","UIP","$21,755","-56.7%","24","+1","$906","$162,887","3"
"7","3","Surrogates","Disney","$15,800","-67.7%","24","-","$658","$180,918","3"
"8","5","Shorts","Importadora","$15,248","-48.0%","23","-","$663","$169,031","4"
"9","6","Orphan","Importadora","$9,872","-56.1%","9","-","$1,097","$40,265","2"
"10","8"," Tinker Bell and the Lost Treasure","Disney","$8,927","-33.2%","15","+1","$595","$172,519","7"
"11","7","Ghosts of Girlfriends Past","Importadora","$7,294","-60.5%","9","-","$810","$64,843","3"
"12","10","My Sister's Keeper","Importadora","$6,018","-50.8%","9","-","$669","$46,689","3"
"13","11","The Ugly Truth","Sony","$4,061","-58.5%","7","-8","$580","$281,224","6"
"14","9","Julie & Julia","Sony","$3,700","-69.9%","14","-","$264","$41,926","3"
"15","13","Year One","Sony","$2,431","-59.4%","9","-3","$270","$77,595","4"
"16","12","Aliens in the Attic","Fox","$2,188","-65.3%","17","+3","$129","$191,689","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1"," Cloudy with a Chance of Meatballs","Sony","$74,492","-8.7%","12","-26","$6,208","$457,142","4","Unknown"
"2","-","Land of the Lost","UIP","$50,282","-","23","-","$2,186","$164,871","2","USA"
"3","2","Surrogates","Disney","$48,843","-26.9%","24","-","$2,035","$146,989","2","Unknown"
"4","N"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$47,486","-","14","-","$3,392","$47,486","1","Unknown"
"5","3","Shorts","Importadora","$29,329","-29.7%","23","-","$1,275","$149,479","3","Unknown"
"6","N","Orphan","Importadora","$22,464","-","9","-","$2,496","$22,464","1","Unknown"
"7","5","Ghosts of Girlfriends Past","Importadora","$18,442","-2.3%","9","-","$2,049","$49,224","2","USA"
"8","11"," Tinker Bell and the Lost Treasure","Disney","$13,354","+254.9%","14","+3","$954","$161,135","6","Unknown"
"9","8","Julie & Julia","Sony","$12,309","-17.8%","14","-","$879","$33,758","2","Unknown"
"10","7","My Sister's Keeper","Importadora","$12,240","-19.6%","9","-","$1,360","$35,154","2","Unknown"
"11","4","The Ugly Truth","Sony","$9,795","-55.0%","15","-4","$653","$272,922","5","Unknown"
"12","9","Aliens in the Attic","Fox","$6,305","-44.7%","14","-","$450","$189,129","5","Unknown"
"13","6","Year One","Sony","$5,986","-61.0%","12","-2","$499","$73,112","3","USA"
"14","12","The Hangover","Importadora","$4,278","+227.1%","5","+2","$856","$194,589","8","USA"
"15","-","The Last House on the Left (2009)","UIP","$3,882","-","15","-","$259","$106,472","4","USA"
"16","15","The Taking of Pelham One, Two, Three","Sony","$176","-67.3%","1","-1","$176","$163,788","7","UK, USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1"," Cloudy with a Chance of Meatballs","Sony","$81,625","-17.6%","38","-","$2,148","$364,647","3","Unknown"
"2","N","Surrogates","Disney","$66,813","-","24","-","$2,784","$66,813","1","Unknown"
"3","2","Shorts","Importadora","$41,729","-24.1%","23","-","$1,814","$117,875","2","Unknown"
"4","3","The Ugly Truth","Sony","$21,761","-42.5%","19","-3","$1,145","$252,619","4","Unknown"
"5","N","Ghosts of Girlfriends Past","Importadora","$18,881","-","9","-","$2,098","$18,881","1","USA"
"6","4","Year One","Sony","$15,344","-50.0%","14","-","$1,096","$60,725","2","USA"
"7","N","My Sister's Keeper","Importadora","$15,229","-","9","-","$1,692","$15,229","1","Unknown"
"8","N","Julie & Julia","Sony","$14,968","-","14","-","$1,069","$14,968","1","Unknown"
"9","6","Aliens in the Attic","Fox","$11,402","-47.9%","14","-9","$814","$181,134","4","Unknown"
"10","8","My Bloody Valentine 3-D","n/a","$4,964","-39.1%","11","-4","$451","$432,238","6","USA"
"11","7"," Tinker Bell and the Lost Treasure","Disney","$3,763","-57.5%","11","-4","$342","$146,226","5","Unknown"
"12","10","The Hangover","Importadora","$1,308","-43.2%","3","-2","$436","$189,642","7","USA"
"13","9","G-Force","Disney","$856","-68.4%","6","-10","$143","$1,460,098","10","Unknown"
"14","13","The Accidental Husband","Disney","$553","-62.1%","2","-13","$277","$174,634","7","UK"
"15","11","The Taking of Pelham One, Two, Three","Sony","$538","-75.7%","2","-3","$269","$163,155","6","UK, USA"
"16","16","The Proposal","Disney","$295","-72.3%","1","-1","$295","$311,335","13","USA"
"17","18","Ice Age: Dawn of the Dinosaurs","Fox","$222","-25.5%","6","-5","$37","$2,451,649","14","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1"," Cloudy with a Chance of Meatballs","Sony","$99,016","-22.8%","38","-","$2,606","$258,390","2","Unknown"
"2","N","Shorts","Importadora","$54,991","-","23","-","$2,391","$54,991","1","Unknown"
"3","2","The Ugly Truth","Sony","$37,840","-24.0%","22","-","$1,720","$210,960","3","Unknown"
"4","N","Year One","Sony","$30,666","-","14","-","$2,190","$30,666","1","USA"
"5","4","The Last House on the Left (2009)","UIP","$28,405","-16.3%","15","-","$1,894","$78,053","2","USA"
"6","3","Aliens in the Attic","Fox","$21,875","-44.5%","23","+1","$951","$162,317","3","Unknown"
"7","5"," Tinker Bell and the Lost Treasure","Disney","$8,845","-44.0%","15","-","$590","$141,310","4","Unknown"
"8","6","My Bloody Valentine 3-D","n/a","$8,153","-20.5%","15","+7","$544","$419,582","5","USA"
"9","9","G-Force","Disney","$2,709","-48.9%","16","-7","$169","$1,458,830","9","Unknown"
"10","10","The Hangover","Importadora","$2,301","-38.2%","5","-3","$460","$187,109","6","USA"
"11","7","The Taking of Pelham One, Two, Three","Sony","$2,214","-67.1%","5","-10","$443","$161,629","5","UK, USA"
"12","19","Public Enemies","UIP","$1,807","+523.1%","6","+2","$301","$77,495","6","Unknown"
"13","11","The Accidental Husband","Disney","$1,459","-58.2%","15","+3","$97","$173,532","6","UK"
"14","12","State of Play","UIP","$1,308","-62.0%","6","-6","$218","$47,337","4","France, UK, USA"
"15","13","G.I. Joe","UIP","$1,256","-48.2%","5","-2","$251","$619,555","8","Unknown"
"16","15","The Proposal","Disney","$1,066","-17.0%","2","-","$533","$310,883","12","USA"
"17","14","The Unborn (2009)","UIP","$668","-57.2%","5","-1","$134","$209,544","7","USA"
"18","17","Ice Age: Dawn of the Dinosaurs","Fox","$298","-27.0%","11","+4","$27","$2,451,425","13","Unknown"
"19","18","12 Rounds","Fox","$78","-75.1%","1","-1","$78","$34,487","7","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N"," Cloudy with a Chance of Meatballs","Sony","$128,296","-","38","-","$3,376","$128,296","1","Unknown"
"2","2","The Ugly Truth","Sony","$49,782","-19.9%","22","-","$2,263","$146,629","2","Unknown"
"3","1","Aliens in the Attic","Fox","$39,408","-45.8%","22","-","$1,791","$133,794","2","Unknown"
"4","N","The Last House on the Left (2009)","UIP","$33,932","-","15","-","$2,262","$33,932","1","USA"
"5","3"," Tinker Bell and the Lost Treasure","Disney","$15,785","-55.1%","15","-","$1,052","$130,054","3","Unknown"
"6","4","My Bloody Valentine 3-D","n/a","$10,251","-63.7%","8","-14","$1,281","$341,339","4","USA"
"7","8","The Taking of Pelham One, Two, Three","Sony","$6,734","-48.6%","15","-8","$449","$155,983","4","UK, USA"
"8","7","Righteous Kill","n/a","$5,732","-56.8%","11","-","$521","$24,826","2","USA"
