" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"14","-","Solitary Man","n/a","$1,025","-","1","-","$1,025","$14,252","3"
"15","9","Mr. Popper's Penguins","Fox","$581","-32.8%","4","-","$145","$429,327","7"
"16","10","Harry Potter and the Deathly Hallows (Part Two)","Importadora","$300","-63.2%","2","-2","$150","$2,595,318","8"
"17","-","Cars 2","Disney","$150","-","1","-","$150","$1,625,905","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Green Lantern","Importadora","$243,734","-38.9%","71","-","$3,433","$814,495","2"
"2","2","The Smurfs","Sony","$185,394","-35.2%","45","-","$4,120","$2,707,495","4"
"3","N","Cowboys & Aliens","UIP","$66,850","-","25","-","$2,674","$66,850","1"
"4","4","Super 8","UIP","$18,224","-48.5%","25","-","$729","$207,596","3"
"5","3","Captain America: The First Avenger","UIP","$17,801","-58.1%","36","-","$494","$1,468,717","5"
"6","5","Prom","Disney","$14,864","-45.2%","20","-","$743","$125,541","3"
"7","-","The Hangover Part II","Importadora","$5,609","-","7","-","$801","$442,485","11"
"8","-","Hereafter","Importadora","$3,289","-","3","-","$1,096","$81,420","22"
"9","10","Mr. Popper's Penguins","Fox","$865","-62.6%","4","-3","$216","$428,453","6"
"10","9","Harry Potter and the Deathly Hallows (Part Two)","Importadora","$815","-80.9%","4","-3","$204","$2,594,049","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Green Lantern","Importadora","$399,160","-","71","-","$5,622","$399,160","1"
"2","1","The Smurfs","Sony","$286,240","-57.4%","45","-15","$6,361","$2,375,469","3"
"3","2","Captain America: The First Avenger","UIP","$42,499","-76.3%","36","-14","$1,181","$1,430,510","4"
"4","3","Super 8","UIP","$35,401","-51.6%","25","-","$1,416","$158,818","2"
"5","5","Prom","Disney","$27,118","-38.7%","20","-","$1,356","$97,118","2"
"6","6","The Switch","n/a","$11,431","-70.2%","7","-5","$1,633","$77,431","2"
"7","N"," The Human Contract","n/a","$9,222","-","6","-","$1,537","$9,222","1"
"8","N","Solitary Man","n/a","$5,529","-","4","-","$1,382","$5,529","1"
"9","4","Harry Potter and the Deathly Hallows (Part Two)","Importadora","$4,268","-91.6%","7","-33","$610","$2,578,793","6"
"10","7","Mr. Popper's Penguins","Fox","$2,312","-88.3%","7","-17","$330","$425,870","5"
"11","10","Cars 2","Disney","$144","-87.6%","1","-5","$144","$1,625,672","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Smurfs","Sony","$672,432","-2.5%","60","-28","$11,207","$1,803,340","2"
"2","2","Captain America: The First Avenger","UIP","$179,014","-28.5%","50","-","$3,580","$1,316,045","3"
"3","N","Super 8","UIP","$73,154","-","25","-","$2,926","$84,957","1"
"4","3","Harry Potter and the Deathly Hallows (Part Two)","Importadora","$50,876","-34.4%","40","-12","$1,272","$2,547,799","5"
"5","N","Prom","Disney","$44,244","-","20","-","$2,212","$44,244","1"
"6","N","The Switch","n/a","$38,385","-","12","-","$3,199","$44,530","1"
"7","4","Mr. Popper's Penguins","Fox","$19,810","-12.8%","24","-1","$825","$415,573","4"
"8","8","Beyond a Reasonable Doubt","n/a","$3,574","-34.5%","3","-","$1,191","$12,544","2"
"9","9","Zookeeper","Sony","$1,622","-56.3%","2","-7","$811","$437,087","6"
"10","10","Cars 2","Disney","$1,157","-67.0%","6","-3","$193","$1,625,432","8"
"11","6","Brothers","Venus","$861","-90.1%","3","-8","$287","$32,345","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Smurfs","Sony","$689,479","-","88","-","$7,835","$689,479","1"
"2","1","Captain America: The First Avenger","UIP","$250,385","-51.8%","50","-","$5,008","$1,006,711","2"
"3","2","Harry Potter and the Deathly Hallows (Part Two)","Importadora","$77,499","-62.5%","52","-34","$1,490","$2,459,260","4"
"4","3","Mr. Popper's Penguins","Fox","$22,704","-74.3%","25","-1","$908","$386,202","3"
"5","6","Splice","n/a","$9,948","-30.1%","11","-","$904","$34,737","2"
"6","7","Brothers","Venus","$8,702","-15.4%","11","-","$791","$27,956","2"
"7","5","UIP","$7,700","-63.9%","7","-14","$1,100","$2,058,036","6",""
"8","N","Beyond a Reasonable Doubt","n/a","$5,456","-","3","-","$1,819","$5,456","1"
"9","4","Zookeeper","Sony","$3,713","-87.8%","9","-16","$413","$434,315","5"
"10","8","Cars 2","Disney","$3,502","-56.4%","9","-6","$389","$1,623,793","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Captain America: The First Avenger","UIP","$518,898","-","50","-","$10,378","$518,898","1"
"2","1","Harry Potter and the Deathly Hallows (Part Two)","Importadora","$206,755","-55.1%","86","+1","$2,404","$2,283,155","3"
"3","2","Mr. Popper's Penguins","Fox","$88,252","-30.7%","26","+1","$3,394","$313,812","2"
"4","4","Zookeeper","Sony","$30,493","-43.0%","25","-","$1,220","$416,691","4"
"5","3","UIP","$21,346","-80.6%","21","-22","$1,016","$2,050,336","5",""
"6","N","Splice","n/a","$14,233","-","11","-","$1,294","$14,233","1"
"7","N","Brothers","Venus","$10,287","-","11","-","$935","$10,287","1"
"8","5","Cars 2","Disney","$8,039","-79.9%","15","-27","$536","$1,618,840","6"
"9","6","Agora (Mists of Time)","n/a","$3,668","-58.3%","5","-","$734","$21,437","2"
"10","11","Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$147","+133.3%","1","-","$147","$2,890,140","11"
"11","10"," Zona Sur","n/a","$98","-86.7%","1","-1","$98","$1,440","2"
