" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"9","7","Prince of Persia: The Sands of Time","Disney","$615","-81.3%","1","-1","$615","$4,103,526","15"
"10","9","Despicable Me","UIP","$241","-90.6%","1","-3","$241","$1,494,925","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Cats & Dogs: Revenge of Kitty Galore","WB","$147,441","-3.2%","46","-","$3,205","$375,312","2"
"2","N","Grown Ups","Sony","$144,606","-","15","-","$9,640","$156,587","1"
"3","2","The Last Airbender","UIP","$66,164","-53.4%","43","-17","$1,539","$2,901,003","4"
"4","3","Salt","Sony","$32,747","-62.5%","37","-23","$885","$2,559,958","5"
"5","-","The Book of Eli","Sony","$10,548","-","4","-","$2,637","$579,264","20"
"6","5","Inception","WB","$5,140","-60.6%","5","-7","$1,028","$2,382,426","7"
"7","8","Prince of Persia: The Sands of Time","Disney","$3,281","-25.4%","2","+1","$1,641","$4,132,329","14"
"8","6","The Sorcerer's Apprentice","Disney","$3,022","-67.6%","4","-7","$756","$1,916,630","6"
"9","9","Despicable Me","UIP","$2,552","+29.2%","4","+1","$638","$1,504,707","8"
"10","7","The Karate Kid","Sony","$2,392","-55.3%","4","-","$598","$3,337,968","12"
"11","4","The Back-Up Plan","Sony","$1,635","-91.3%","16","-","$102","$109,744","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Cats & Dogs: Revenge of Kitty Galore","WB","$152,231","-","46","-","$3,309","$152,231","1"
"2","1","The Last Airbender","UIP","$142,012","-65.8%","60","-","$2,367","$2,776,785","3"
"3","2","Salt","Sony","$87,363","-66.5%","60","-","$1,456","$2,513,996","4"
"4","3","The Back-Up Plan","Sony","$18,732","-67.5%","16","-","$1,171","$106,248","2"
"5","5","Inception","WB","$13,028","-63.1%","12","-16","$1,086","$2,371,117","6"
"6","4","The Sorcerer's Apprentice","Disney","$9,331","-74.8%","11","+7","$848","$1,901,208","5"
"7","6","The Karate Kid","Sony","$5,346","-41.3%","4","-2","$1,337","$3,334,260","11"
"8","8","Prince of Persia: The Sands of Time","Disney","$4,395","+95.3%","1","-","$4,395","$4,126,158","13"
"9","7","Despicable Me","UIP","$1,975","-60.8%","3","-5","$658","$1,500,595","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Last Airbender","UIP","$415,378","-59.3%","60","-","$6,923","$2,349,094","2"
"2","2","Salt","Sony","$260,939","-57.3%","60","-","$4,349","$2,317,470","3"
"3","N","The Back-Up Plan","Sony","$57,572","-","16","-","$3,598","$64,424","1"
"4","3","The Sorcerer's Apprentice","Disney","$37,080","-68.5%","4","-43","$9,270","$1,857,032","4"
"5","4","Inception","WB","$35,322","-64.6%","28","-20","$1,262","$2,327,059","5"
"6","6","The Karate Kid","Sony","$9,110","-12.2%","6","+3","$1,518","$3,325,049","10"
"7","5","Despicable Me","UIP","$5,039","-57.0%","8","-2","$630","$1,495,599","6"
"8","8","Prince of Persia: The Sands of Time","Disney","$2,250","+508.1%","1","-","$2,250","$4,118,538","12"
"9","7","Toy Story 3","Disney","$296","-68.7%","1","-","$296","$2,433,492","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","5","The Last Airbender","UIP","$1,021,291","+1,274.7%","60","-","$17,022","$1,421,119","1"
"2","1","Salt","Sony","$610,650","-42.9%","60","-","$10,178","$1,908,756","2"
"3","2","The Sorcerer's Apprentice","Disney","$117,859","-61.6%","47","-13","$2,508","$1,739,641","3"
"4","3","Inception","WB","$99,774","-53.9%","48","-22","$2,079","$2,231,182","4"
"5","4","Despicable Me","UIP","$11,708","-84.5%","10","-54","$1,171","$1,488,633","5"
"6","6","The Karate Kid","Sony","$10,374","+78.9%","3","+2","$3,458","$3,310,897","9"
"7","7","Toy Story 3","Disney","$945","+100.2%","1","-","$945","$2,431,956","8"
"8","8","Prince of Persia: The Sands of Time","Disney","$370","+1.4%","1","-","$370","$4,116,072","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Salt","Sony","$1,070,020","-","60","-","$17,834","$1,070,020","1"
"2","1","The Sorcerer's Apprentice","Disney","$306,911","-56.9%","60","-","$5,115","$1,491,521","2"
"3","2","Inception","WB","$216,249","-51.7%","70","-","$3,089","$2,017,405","3"
"4","3","Despicable Me","UIP","$75,696","-58.0%","64","-","$1,183","$1,454,113","4"
"5","-","The Last Airbender","UIP","$74,294","-","60","-","$1,238","$74,294","-"
"6","4","The Karate Kid","Sony","$5,800","-81.2%","1","-13","$5,800","$3,300,092","8"
"7","5","Toy Story 3","Disney","$472","-89.8%","1","-3","$472","$2,431,011","7"
"8","6","Prince of Persia: The Sands of Time","Disney","$365","-91.0%","1","-2","$365","$4,115,379","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Sorcerer's Apprentice","Disney","$712,127","-","60","-","$11,869","$915,419","1"
"2","1","Inception","WB","$447,878","-38.1%","70","-","$6,398","$1,558,664","2"
"3","2","Despicable Me","UIP","$180,010","-46.3%","64","-","$2,813","$1,281,936","3"
"4","3","The Karate Kid","Sony","$30,788","+38.3%","14","+6","$2,199","$3,288,182","7"
"5","4","Toy Story 3","Disney","$4,636","-68.7%","4","-4","$1,159","$2,394,507","6"
"6","5","Prince of Persia: The Sands of Time","Disney","$4,044","-50.9%","3","-3","$1,348","$4,055,184","9"
"7","7","Robin Hood","UIP","$267","-67.0%","1","-","$267","$1,880,555","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Inception","WB","$723,546","-","70","-","$10,336","$723,546","1"
"2","1","Despicable Me","UIP","$335,025","-8.0%","64","-7","$5,235","$951,991","2"
"3","2","The Karate Kid","Sony","$22,266","-73.7%","8","-13","$2,783","$3,253,834","6"
"4","3","Toy Story 3","Disney","$14,823","-74.8%","8","-13","$1,853","$2,382,017","5"
"5","4","Prince of Persia: The Sands of Time","Disney","$8,233","+251.7%","6","+2","$1,372","$4,044,319","8"
"6","-","Cop Out","WB","$1,939","-","1","-","$1,939","$225,146","13"
"7","6","Robin Hood","UIP","$810","+50.0%","1","-","$810","$1,880,099","10"
"8","8","Sex and the City 2","WB","$93","-50.3%","1","-","$93","$919,926","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Despicable Me","UIP","$364,174","-","71","-","$5,129","$365,127","1"
"2","2","The Karate Kid","Sony","$84,604","-53.5%","21","-29","$4,029","$3,220,874","5"
"3","1","Toy Story 3","Disney","$58,804","-73.6%","21","-22","$2,800","$2,345,472","4"
"4","3","Prince of Persia: The Sands of Time","Disney","$2,341","-27.7%","4","-1","$585","$4,031,439","7"
"5","7","Iron Man 2","UIP","$668","+51.8%","1","-","$668","$4,487,383","11"
"6","5","Robin Hood","UIP","$540","-62.1%","1","-1","$540","$1,879,068","9"
"7","6","How to Train Your Dragon","UIP","$340","-43.5%","1","-","$340","$1,560,733","16"
"8","4","Sex and the City 2","WB","$187","-92.2%","1","-3","$187","$919,679","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","2","Toy Story 3","Disney","$222,639","-43.8%","43","-36","$5,178","$2,093,814","3"
"2","1","The Karate Kid","Sony","$182,014","-60.6%","50","-","$3,640","$3,090,188","4"
"3","3","Prince of Persia: The Sands of Time","Disney","$3,239","-83.9%","5","-9","$648","$4,027,569","6"
"4","4","Sex and the City 2","WB","$2,398","-52.1%","4","-2","$600","$918,513","5"
"5","5","Robin Hood","UIP","$1,423","-40.2%","2","-1","$712","$1,877,916","8"
"6","6","How to Train Your Dragon","UIP","$602","-70.7%","1","-1","$602","$1,560,389","15"
"7","7","Iron Man 2","UIP","$440","-1.6%","1","-","$440","$4,486,527","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Karate Kid","Sony","$462,473","-48.0%","50","-","$9,249","$2,789,455","3"
"2","2","Toy Story 3","Disney","$395,876","-34.5%","79","-2","$5,011","$1,543,394","2"
"3","3","Prince of Persia: The Sands of Time","Disney","$20,050","-69.9%","14","-21","$1,432","$3,931,698","5"
"4","4","Sex and the City 2","WB","$5,009","-82.9%","6","-12","$835","$896,443","4"
"5","5","Robin Hood","UIP","$2,381","-86.0%","3","-2","$794","$1,838,560","7"
"6","-","How to Train Your Dragon","UIP","$2,051","-","2","-","$1,026","$1,527,858","14"
"7","7","Iron Man 2","UIP","$447","-88.3%","1","-2","$447","$4,399,112","9"
"8","6","Shrek Forever After","UIP","$397","-93.0%","1","-5","$397","$1,621,226","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Karate Kid","Sony","$889,355","-5.0%","50","-","$17,787","$2,108,224","2"
"2","N","Toy Story 3","Disney","$604,269","-","81","-","$7,460","$709,155","1"
"3","2","Prince of Persia: The Sands of Time","Disney","$66,514","-69.9%","35","-45","$1,900","$3,871,882","4"
"4","3","Sex and the City 2","WB","$29,244","-76.1%","18","-32","$1,625","$880,105","3"
"5","5","Robin Hood","UIP","$17,054","-27.2%","5","-10","$3,411","$1,827,643","6"
"6","4","Shrek Forever After","UIP","$5,706","-88.0%","6","-15","$951","$1,619,210","5"
"7","6","Iron Man 2","UIP","$3,813","-65.4%","3","-2","$1,271","$4,397,530","8"
