" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"15","6","Babylon A.D.","$4,402","-92.3%","2","-15","$2,201","$510,132","3","France, USA"
"16","13","Mamma Mia!","$3,995","-37.5%","2","-1","$1,998","$562,858","15","Germany, UK, USA"
"17","7","The House Bunny","$3,656","-93.1%","2","-17","$1,828","$76,409","2","USA"
"18","N"," Ewaa Weshak","$2,571","-","3","-","$857","$3,363","1","Unknown"
"19","19","Kung Fu Panda","$2,084","+165.5%","1","-","$2,084","$1,773,208","19","USA"
"20","15","Tropic Thunder","$1,856","-60.3%","1","-1","$1,856","$965,494","10","Germany, USA"
"21","11","88 Minutes","$1,704","-85.3%","1","-5","$1,704","$396,982","5","Germany, USA"
"22","16","Wild Child","$818","-47.6%","1","-","$818","$345,456","8","France, UK, USA"
"23","14"," Journey to the Center of the Earth","$792","-83.4%","1","-1","$792","$625,826","9","USA"
"24","20","Space Chimps","$725","+7.3%","1","-","$725","$170,059","12","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Eagle Eye","$450,142","-","21","-","$21,435","$549,097","1","Germany, USA"
"2","1","Death Race","$155,091","-67.7%","19","-4","$8,163","$974,902","2","USA"
"3","N","Burn After Reading","$124,641","-","11","-","$11,331","$163,283","1","France, UK, USA"
"4","N"," Boogeyman 2","$112,923","-","19","-","$5,943","$146,821","1","USA"
"5","3"," Hasan we Morqos","$67,355","-67.1%","20","-","$3,368","$429,571","2","Unknown"
"6","2","Babylon A.D.","$57,124","-78.6%","17","-2","$3,360","$505,730","2","France, USA"
"7","N","The House Bunny","$53,102","-","19","-","$2,795","$53,102","1","USA"
"8","4","Beverly Hills Chihuahua","$49,460","-54.7%","14","-","$3,533","$209,452","2","Mexico, USA"
"9","6"," Chasseurs de dragons (Dragon Hunters)","$20,473","-62.8%","14","-1","$1,462","$103,822","2","France, Germany, Luxem"
"10","7","Star Wars: The Clone Wars","$14,928","-67.7%","9","-4","$1,659","$83,255","2","USA"
"11","8","88 Minutes","$11,572","-73.3%","6","-6","$1,929","$395,278","4","Germany, USA"
"12","5","Nomad (The Warrior)","$6,513","-88.5%","8","-10","$814","$240,561","3","France, Kazak"
"13","9","Mamma Mia!","$6,394","-76.1%","3","-5","$2,131","$558,863","14","Germany, UK, USA"
"14","11"," Journey to the Center of the Earth","$4,784","-74.3%","2","-1","$2,392","$625,034","8","USA"
"15","10","Tropic Thunder","$4,671","-76.5%","2","-4","$2,336","$963,637","9","Germany, USA"
"16","13","Wild Child","$1,561","-86.3%","1","-2","$1,561","$344,638","7","France, UK, USA"
"17","14","The Mummy: Tomb of the Dragon Emperor","$1,443","-85.3%","1","-3","$1,443","$2,035,056","10","Canada, Germany, USA"
"18","12","The Dark Knight","$998","-93.8%","1","-2","$998","$2,542,485","12","USA"
"19","17","Kung Fu Panda","$785","-79.0%","1","-","$785","$1,771,124","18","USA"
"20","18","Space Chimps","$676","-59.0%","1","-","$676","$169,334","11","USA"
"21","16","Hellboy II: The Golden Army","$670","-85.4%","1","-2","$670","$818,468","8","Germany, USA"
"22","15"," White Noise 2: The Light","$181","-96.8%","1","-7","$181","$198,750","5","Canada, USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Death Race","$479,686","-","23","-","$20,856","$776,167","1","USA"
"2","N","Babylon A.D.","$267,300","-","19","-","$14,068","$428,588","1","France, USA"
"3","N"," Hasan we Morqos","$204,889","-","20","-","$10,244","$341,007","1","Unknown"
"4","N","Beverly Hills Chihuahua","$109,095","-","14","-","$7,793","$154,771","1","Mexico, USA"
"5","1","Nomad (The Warrior)","$56,491","-30.4%","18","-1","$3,138","$231,519","2","France, Kazak"
"6","N"," Chasseurs de dragons (Dragon Hunters)","$54,990","-","15","-","$3,666","$81,201","1","France, Germany, Luxem"
"7","N","Star Wars: The Clone Wars","$46,199","-","13","-","$3,554","$67,246","1","USA"
"8","2","88 Minutes","$43,283","-36.6%","12","-8","$3,607","$379,905","3","Germany, USA"
"9","4","Mamma Mia!","$26,788","-0.5%","8","-1","$3,349","$550,136","13","Germany, UK, USA"
"10","3","Tropic Thunder","$19,881","-43.6%","6","-10","$3,314","$957,280","8","Germany, USA"
"11","5"," Journey to the Center of the Earth","$18,585","-23.8%","3","-1","$6,195","$619,682","7","USA"
"12","10","The Dark Knight","$15,975","+45.1%","3","-2","$5,325","$2,541,097","11","USA"
"13","6","Wild Child","$11,355","-40.4%","3","-3","$3,785","$342,791","6","France, UK, USA"
"14","8","The Mummy: Tomb of the Dragon Emperor","$9,834","-40.1%","4","-8","$2,459","$2,033,279","9","Canada, Germany, USA"
"15","7"," White Noise 2: The Light","$5,722","-67.3%","8","-10","$715","$198,531","4","Canada, USA"
"16","11","Hellboy II: The Golden Army","$4,575","-53.5%","3","-7","$1,525","$817,562","7","Germany, USA"
"17","14","Kung Fu Panda","$3,739","+31.6%","1","-5","$3,739","$1,770,199","17","USA"
"18","13","Space Chimps","$1,647","-49.9%","1","-3","$1,647","$168,565","10","USA"
"19","20","The Incredible Hulk","$1,352","+14.2%","1","-","$1,352","$1,788,889","16","USA"
"20","17","Wanted","$919","-48.9%","1","-1","$919","$1,791,965","12","Germany, USA"
"21","15","The Love Guru","$200","-90.7%","1","-1","$200","$436,358","10","Canada, Germany, USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Nomad (The Warrior)","$81,217","-","19","-","$4,275","$81,217","1","France, Kazak"
"2","1","88 Minutes","$68,315","-50.7%","20","-","$3,416","$239,951","2","Germany, USA"
"3","2","Tropic Thunder","$35,230","-18.5%","16","-","$2,202","$889,773","7","Germany, USA"
"4","4","Mamma Mia!","$26,915","-4.0%","9","-","$2,991","$488,967","12","Germany, UK, USA"
"5","5"," Journey to the Center of the Earth","$24,385","-1.9%","4","-1","$6,096","$571,045","6","USA"
"6","7","Wild Child","$19,035","-2.5%","6","-","$3,173","$309,504","5","France, UK, USA"
"7","3"," White Noise 2: The Light","$17,473","-47.4%","18","-1","$971","$161,280","3","Canada, USA"
"8","8","The Mummy: Tomb of the Dragon Emperor","$16,403","-11.9%","12","-1","$1,367","$1,998,231","8","Canada, Germany, USA"
"9","N"," Asad wa arbaa qutat","$15,184","-","3","-","$5,061","$15,184","1","Unknown"
"10","6","The Dark Knight","$11,010","-44.7%","5","-","$2,202","$2,500,771","10","USA"
