" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"12","12"," Cloudy with a Chance of Meatballs","Sony","$7,690","-26.1%","3","-","$2,563","$578,144","9"
"13","5"," Fifty Dead Men Walking","Gulf","$5,720","-88.4%","12","-2","$477","$71,821","2"
"14","14","A Perfect Getaway","n/a","$3,297","-41.7%","2","-2","$1,649","$282,682","4"
"15","17","Inglourious Basterds","UIP","$1,734","-51.0%","1","-","$1,734","$583,391","8"
"16","13","The Final Destination","WB","$1,655","-79.6%","1","-1","$1,655","$789,631","7"
"17","19","Harry Potter and the Half Blood Prince","WB","$1,614","-12.8%","1","-","$1,614","$1,501,728","18"
"18","8"," Ehky ya Scheherazade","Gulf","$1,399","-95.0%","2","-8","$700","$39,732","2"
"19","16","Whiteout","WB","$686","-82.1%","1","-2","$686","$91,248","3"
"20","21","The Time Traveler's Wife","Gulf","$653","-2.5%","1","-","$653","$227,699","6"
"21","11"," Autopsy","Gulf","$568","-94.6%","3","-14","$189","$115,800","3"
"22","20","District 9","Gulf","$123","-82.8%","1","-","$123","$431,163","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Case 39","UIP","$161,319","-","21","-","$7,682","$206,136","1"
"2","N"," The Rebound","Gulf","$133,166","-","19","-","$7,009","$173,903","1"
"3","2","Michael Jackson's This Is It","Sony","$100,742","-41.6%","18","-2","$5,597","$333,067","2"
"4","1","Couples Retreat","UIP","$87,485","-54.7%","19","-2","$4,604","$361,622","2"
"5","N"," Fifty Dead Men Walking","Gulf","$49,359","-","14","-","$3,526","$63,549","1"
"6","N","WB","$43,475","-","11","-","$3,952","$56,020","1",""
"7","6"," Toy Story in 3D","Disney","$36,990","+6.5%","3","-","$12,330","$79,760","2"
"8","N"," Ehky ya Scheherazade","Gulf","$27,910","-","10","-","$2,791","$27,910","1"
"9","N","Capitalism: A Love Story","n/a","$16,536","-","11","-","$1,503","$16,536","1"
"10","5","Gake no ue no Ponyo (Ponyo on a Cliff)","n/a","$15,175","-60.7%","9","-4","$1,686","$69,634","2"
"11","-"," Autopsy","Gulf","$10,603","-","17","-","$624","$114,814","2"
"12","12"," Cloudy with a Chance of Meatballs","Sony","$10,411","+48.2%","3","-1","$3,470","$569,550","8"
"13","10","The Final Destination","WB","$8,108","-27.0%","2","-1","$4,054","$787,203","6"
"14","4","A Perfect Getaway","n/a","$5,657","-86.3%","4","-16","$1,414","$277,686","3"
"15","9","Shorts","WB","$5,390","-66.3%","3","-9","$1,797","$130,800","4"
"16","3","Whiteout","WB","$3,838","-94.0%","3","-17","$1,279","$89,957","2"
"17","13","Inglourious Basterds","UIP","$3,541","-27.9%","1","-1","$3,541","$581,210","7"
