" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"15","N","La Môme (La Vie en Rose)","$5,048","-","3","-","$1,683","$5,048","1","Czech, France, UK"
"16","9","Black Sheep (2007)","$3,589","-68.2%","5","-","$718","$18,017","2","NZ"
"17","13","Bordertown","$2,893","-52.8%","4","-3","$723","$175,391","4","USA"
"18","15","Harry Potter and the Order of the Phoenix","$2,491","-55.9%","1","-","$2,491","$1,556,384","11","Unknown"
"19","17"," Andaleeb AlDokki","$2,463","-14.7%","5","-1","$493","$1,236,295","7","Unknown"
"20","20","$2,024","+96.7%","1","-1","$2,024","$1,565,238","13","USA",""
"21","7","Sicko","$1,751","-86.0%","2","-8","$876","$18,070","2","USA"
"22","18","Grand Theft Parsons","$913","-51.5%","3","-4","$304","$3,438","2","Unknown"
"23","16"," Gone (2007)","$506","-87.3%","3","-3","$169","$49,797","3","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Contract","$75,586","-","15","-","$5,039","$75,586","1","Germany, USA"
"2","N","Hot Rod","$37,829","-","19","-","$1,991","$37,829","1","Unknown"
"3","1","I Now Pronounce You Chuck and Larry","$34,013","-45.4%","15","-","$2,268","$320,834","3","Unknown"
"4","4","WAR","$30,024","-20.0%","15","-2","$2,002","$640,860","4","USA"
"5","2","Rush Hour 3","$29,639","-35.2%","8","-5","$3,705","$1,373,111","5","Unknown"
"6","6"," Matab sena'y","$18,949","-40.6%","17","-1","$1,115","$683,379","4","Unknown"
"7","N","Sicko","$12,524","-","10","-","$1,252","$12,524","1","USA"
"8","3"," Minotaur","$12,371","-67.2%","9","-2","$1,375","$59,882","2","France, Germany, Luxem, Spain, UK"
"9","N","Black Sheep (2007)","$11,276","-","5","-","$2,255","$11,276","1","NZ"
"10","10","The Bourne Ultimatum","$10,664","-17.3%","2","-","$5,332","$1,236,613","7","Germany, USA"
"11","9","Ratatouille","$9,587","-32.2%","4","-","$2,397","$566,066","6","USA"
"12","12","Hairspray (2007)","$6,569","-15.6%","1","-","$6,569","$110,206","4","UK, USA"
"13","7","Bordertown","$6,134","-73.4%","7","-8","$876","$168,954","3","USA"
"14","8","No Reservations","$5,955","-62.2%","3","-","$1,985","$247,565","4","Unknown"
"15","17","Harry Potter and the Order of the Phoenix","$5,650","+13.7%","1","-","$5,650","$1,552,928","10","Unknown"
"16","5"," Gone (2007)","$3,992","-88.4%","6","-7","$665","$46,730","2","Unknown"
"17","15"," Andaleeb AlDokki","$2,886","-58.6%","6","-6","$481","$1,232,935","6","Unknown"
"18","N","Grand Theft Parsons","$1,884","-","7","-","$269","$1,884","1","Unknown"
"19","11","How to Eat Fried Worms","$1,865","-77.3%","1","-5","$1,865","$10,879","2","Unknown"
"20","19","$1,029","-56.9%","2","-","$515","$1,560,426","12","USA",""
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","2","I Now Pronounce You Chuck and Larry","$62,246","-62.8%","15","-1","$4,150","$271,078","2","Unknown"
"2","3","Rush Hour 3","$45,745","-61.1%","13","-2","$3,519","$1,330,057","4","Unknown"
"3","N"," Minotaur","$37,661","-","11","-","$3,424","$37,661","1","France, Germany, Luxem, Spain, UK"
"4","-","WAR","$37,549","-","17","-","$2,209","$599,414","3","USA"
"5","N"," Gone (2007)","$34,427","-","13","-","$2,648","$34,427","1","Unknown"
"6","1"," Matab sena'y","$31,912","-83.3%","18","-","$1,773","$655,418","3","Unknown"
"7","-","Bordertown","$23,051","-78.0%","15","-","$1,537","$155,412","2","USA"
"8","-","No Reservations","$15,750","-63.8%","3","-5","$5,250","$236,307","3","Unknown"
"9","-","Ratatouille","$14,131","-56.9%","4","-5","$3,533","$553,946","5","USA"
"10","-","The Bourne Ultimatum","$12,887","-59.0%","2","-2","$6,444","$1,220,950","6","Germany, USA"
"11","N","How to Eat Fried Worms","$8,197","-","6","-","$1,366","$8,197","1","Unknown"
"12","-","Hairspray (2007)","$7,787","-52.5%","1","-2","$7,787","$100,681","3","UK, USA"
"13","N","Funny Money","$7,714","-","4","-","$1,929","$7,714","1","Unknown"
"14","N","Hors de prix (Priceless)","$7,192","-","6","-","$1,199","$7,192","1","France"
"15","-"," Andaleeb AlDokki","$6,970","-85.8%","12","-","$581","$1,227,469","5","Unknown"
"16","N","Volver","$6,471","-","4","-","$1,618","$6,471","1","Spain"
"17","-","Harry Potter and the Order of the Phoenix","$4,969","-45.9%","1","-","$4,969","$1,545,751","9","Unknown"
"18","-","Stardust","$2,395","-35.9%","1","-","$2,395","$191,566","5","UK, USA"
"19","-","$2,389","-47.1%","2","-","$1,195","$1,558,866","11","USA",""
"20","-"," Grindhouse: Death Proof","$1,638","-97.6%","4","-15","$410","$86,884","2","USA"
"21","-","The Condemned","$489","-92.6%","1","-3","$489","$267,186","4","USA"
" TW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1"," Matab sena'y","$190,796","-29.4%","18","-","$10,600","$569,385","2","Unknown"
"2","I Now Pronounce You Chuck and Larry","$167,303","-","16","-","$10,456","$167,303","1","Unknown"
"3","Rush Hour 3","$117,557","-47.4%","15","-6","$7,837","$1,255,284","3","Unknown"
"-","Bordertown","$104,937","-","15","-","$6,996","$104,937","1","USA"
"-"," Grindhouse: Death Proof","$68,145","-","19","-","$3,587","$68,145","1","USA"
"-"," Andaleeb AlDokki","$49,168","-53.9%","12","-6","$4,097","$1,208,377","4","Unknown"
"-","No Reservations","$43,536","-64.5%","8","-7","$5,442","$207,758","2","Unknown"
"-","Ratatouille","$32,751","-42.9%","9","-1","$3,639","$533,298","4","USA"
"-","The Bourne Ultimatum","$31,422","-24.6%","4","-2","$7,856","$1,197,660","5","Germany, USA"
"-","Dnevnoy dozor (Day Watch)","$16,429","-","13","-","$1,264","$16,429","1","Russia"
"-","Hairspray (2007)","$16,399","-69.7%","3","-10","$5,466","$88,758","2","UK, USA"
"-","Harry Potter and the Order of the Phoenix","$9,176","-11.9%","1","-","$9,176","$1,538,849","8","Unknown"
"-","The Condemned","$6,593","-86.0%","4","-12","$1,648","$264,110","3","USA"
"-","$4,514","-12.8%","2","-","$2,257","$1,555,691","10","USA",""
"-","Surf's Up","$4,103","-12.2%","1","-1","$4,103","$171,005","5","USA"
"-","Stardust","$3,734","-10.4%","1","-","$3,734","$188,178","4","UK, USA"
"-","The Simpsons Movie","$2,083","-44.5%","1","-","$2,083","$475,642","7","USA"
"-","BRATZ","$180","-91.8%","1","-","$180","$115,637","6","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"-","N"," Matab sena'y","$270,266","-","18","-","$15,015","$270,266","1","Unknown"
"-","1","Rush Hour 3","$223,598","-64.9%","21","-9","$10,648","$1,063,880","2","Unknown"
"-","N","No Reservations","$122,755","-","15","-","$8,184","$122,755","1","Unknown"
"-","2"," Andaleeb AlDokki","$106,684","-48.7%","18","-1","$5,927","$1,119,831","3","Unknown"
"-","4","Ratatouille","$57,329","-38.1%","10","-6","$5,733","$481,817","3","USA"
"-","N","Hairspray (2007)","$54,195","-","13","-","$4,169","$54,195","1","UK, USA"
"-","3","The Condemned","$47,162","-65.4%","16","-3","$2,948","$242,813","2","USA"
"-","5","The Bourne Ultimatum","$41,697","-39.0%","6","-4","$6,950","$1,147,328","4","Germany, USA"
"-","10","Harry Potter and the Order of the Phoenix","$10,415","-9.0%","1","-","$10,415","$1,526,251","7","Unknown"
"-","15","$5,179","+3.7%","2","-","$2,590","$1,549,466","9","USA",""
"-","13","Surf's Up","$4,674","-24.6%","2","+1","$2,337","$165,739","4","USA"
"-","8","Stardust","$4,166","-82.5%","1","-8","$4,166","$182,752","3","UK, USA"
"-","14","The Simpsons Movie","$3,756","-32.7%","1","-","$3,756","$471,660","6","USA"
"-","11","License to Wed","$2,734","-69.6%","1","-1","$2,734","$217,676","4","Unknown"
"-","7","Nancy Drew","$2,728","-89.1%","1","-9","$2,728","$40,735","2","Unknown"
"-","16","BRATZ","$2,200","-1.6%","1","-","$2,200","$114,458","5","USA"
"-","12"," Marigold","$572","-91.8%","1","-5","$572","$98,189","3","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Rush Hour 3","$637,421","-","30","-","$21,247","$637,421","1","Unknown"
"2","1"," Andaleeb AlDokki","$207,984","-61.1%","19","-","$10,947","$928,993","2","Unknown"
"3","N","The Condemned","$136,115","-","19","-","$7,164","$136,115","1","USA"
"4","3","Ratatouille","$92,613","-52.7%","16","-3","$5,788","$382,052","2","USA"
"5","2","The Bourne Ultimatum","$68,296","-66.3%","10","-12","$6,830","$1,072,016","3","Germany, USA"
"6","N","Captivity","$39,185","-","14","-","$2,799","$39,185","1","Russia, USA"
"7","N","Nancy Drew","$25,022","-","10","-","$2,502","$25,022","1","Unknown"
"8","4","Stardust","$23,848","-76.8%","9","-10","$2,650","$166,825","2","UK, USA"
"9","6","1408","$14,134","-76.3%","5","-11","$2,827","$305,974","3","USA"
"10","10","Harry Potter and the Order of the Phoenix","$11,450","-58.1%","1","-2","$11,450","$1,509,246","6","Unknown"
"11","8","License to Wed","$8,979","-75.5%","2","-9","$4,490","$209,581","3","Unknown"
"12","5"," Marigold","$7,009","-90.1%","6","-13","$1,168","$95,932","2","Unknown"
"13","9","Surf's Up","$6,199","-82.0%","1","-7","$6,199","$158,507","3","USA"
"14","11","The Simpsons Movie","$5,581","-57.2%","1","-1","$5,581","$463,661","5","USA"
"15","13","$4,995","-33.8%","2","-","$2,498","$1,541,880","8","USA",""
"16","14","BRATZ","$2,236","-70.0%","1","-","$2,236","$110,689","4","USA"
"17","7"," Bo bui gai wak (Rob-B-Hood)","$1,208","-97.6%","1","-16","$1,208","$712,897","4","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N"," Andaleeb AlDokki","$535,061","-","19","-","$28,161","$535,061","1","Unknown"
"2","1","The Bourne Ultimatum","$202,759","-65.0%","22","-7","$9,216","$925,412","2","Germany, USA"
"3","N","Ratatouille","$195,818","-","19","-","$10,306","$195,818","1","USA"
"4","N","Stardust","$102,840","-","19","-","$5,413","$102,840","1","UK, USA"
"5","N"," Marigold","$71,112","-","19","-","$3,743","$71,112","1","Unknown"
"6","2","1408","$59,724","-59.9%","16","-2","$3,733","$262,127","2","USA"
"7","3"," Bo bui gai wak (Rob-B-Hood)","$50,327","-56.6%","17","-2","$2,960","$691,945","3","Unknown"
"8","4","License to Wed","$36,642","-62.7%","11","-4","$3,331","$181,478","2","Unknown"
"9","5","Surf's Up","$34,523","-57.8%","8","-11","$4,315","$155,516","2","USA"
"10","6","Harry Potter and the Order of the Phoenix","$27,301","-31.8%","3","-2","$9,100","$1,484,862","5","Unknown"
"11","7","The Simpsons Movie","$13,025","-59.9%","2","-3","$6,513","$449,975","4","USA"
"12","10","Fracture","$9,490","+4.3%","3","-1","$3,163","$53,385","2","Germany, USA"
"13","9","$7,540","-48.2%","2","-1","$3,770","$1,531,240","7","USA",""
"14","12","BRATZ","$7,445","+16.1%","1","-2","$7,445","$106,843","3","USA"
"15","11","Live Free or Die Hard","$1,481","-81.0%","1","-1","$1,481","$1,503,882","8","UK, USA"
"16","14"," El Ratón Pérez","$700","-69.5%","1","-","$700","$113,953","4","Argentina, Spain"
"17","17","The Last Legion","$338","-47.6%","1","-","$338","$455,223","6","France, Italy, UK"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Bourne Ultimatum","$578,791","-","29","-","$19,958","$578,791","1","Germany, USA"
"2","N","1408","$148,879","-","18","-","$8,271","$148,879","1","USA"
"3","1"," Bo bui gai wak (Rob-B-Hood)","$116,071","-68.1%","19","-","$6,109","$591,486","2","Unknown"
"4","N","License to Wed","$98,291","-","15","-","$6,553","$98,291","1","Unknown"
"5","N","Surf's Up","$81,864","-","19","-","$4,309","$81,864","1","USA"
"6","2","Harry Potter and the Order of the Phoenix","$40,036","-60.0%","5","-9","$8,007","$1,438,813","4","Unknown"
"7","3","The Simpsons Movie","$32,488","-63.6%","5","-10","$6,498","$420,011","3","USA"
"8","4"," Boo (2005)","$16,436","-77.3%","6","-2","$2,739","$118,357","2","Unknown"
"9","9","$14,558","-46.7%","3","-1","$4,853","$1,514,808","6","USA",""
"10","N","Fracture","$9,100","-","4","-","$2,275","$9,100","1","Germany, USA"
"11","11","Live Free or Die Hard","$7,796","-45.2%","2","-","$3,898","$1,497,714","7","UK, USA"
"12","5","BRATZ","$6,413","-89.0%","3","-13","$2,138","$94,619","2","USA"
"13","6","Lonely Hearts","$5,137","-89.3%","4","-8","$1,284","$71,836","2","Germany, USA"
"14","10"," El Ratón Pérez","$2,298","-87.7%","1","-13","$2,298","$112,516","3","Argentina, Spain"
"15","7","Mr. Brooks","$1,118","-97.6%","1","-14","$1,118","$243,448","3","USA"
"16","15","Shrek the Third","$1,048","-65.3%","1","-","$1,048","$1,405,268","10","USA"
"17","14","The Last Legion","$645","-80.5%","1","-1","$645","$454,379","5","France, Italy, UK"
"18","17","Next","$418","-76.2%","1","-","$418","$533,521","8","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N"," Bo bui gai wak (Rob-B-Hood)","$364,247","-","19","-","$19,171","$364,247","1","Unknown"
"2","1","Harry Potter and the Order of the Phoenix","$100,097","-54.8%","14","-15","$7,150","$1,351,884","3","Unknown"
"3","2","The Simpsons Movie","$89,176","-52.2%","15","-4","$5,945","$346,526","2","USA"
"4","N"," Boo (2005)","$72,505","-","8","-","$9,063","$72,505","1","Unknown"
"5","N","BRATZ","$58,468","-","16","-","$3,654","$58,468","1","USA"
"6","N","Lonely Hearts","$47,973","-","12","-","$3,998","$47,973","1","Germany, USA"
"7","3","Mr. Brooks","$45,819","-66.5%","15","-3","$3,055","$224,435","2","USA"
"8","4","Vacancy","$40,870","-64.9%","14","-","$2,919","$205,001","2","Unknown"
"9","5","$27,294","-54.3%","4","-7","$6,824","$1,485,033","5","USA",""
"10","6"," El Ratón Pérez","$18,665","-65.9%","14","-5","$1,333","$102,003","2","Argentina, Spain"
"11","8","Live Free or Die Hard","$14,222","-52.0%","2","-2","$7,111","$1,482,123","6","UK, USA"
"12","N","Goya's Ghosts","$11,050","-","4","-","$2,763","$11,050","1","Spain, USA"
"13","9"," Kessat Al Hay Al Shaabi","$7,122","-69.2%","4","-2","$1,781","$81,672","3","Unknown"
"14","10","The Last Legion","$3,311","-85.0%","2","-8","$1,656","$452,577","4","France, Italy, UK"
"15","13","Shrek the Third","$3,017","-43.6%","1","-1","$3,017","$1,401,961","9","USA"
"16","7","Rise: Blood Hunter","$2,400","-94.4%","3","-13","$800","$222,629","3","NZ, USA"
"17","15","Next","$1,756","-30.9%","1","-","$1,756","$532,360","7","USA"
"18","16","Harsh Times","$1,028","-43.8%","1","-1","$1,028","$85,359","4","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Harry Potter and the Order of the Phoenix","$221,262","-71.2%","29","-6","$7,630","$1,172,066","2","Unknown"
"2","N","The Simpsons Movie","$186,382","-","19","-","$9,810","$186,382","1","USA"
"3","N","Mr. Brooks","$136,655","-","18","-","$7,592","$136,655","1","USA"
"4","N","Vacancy","$116,353","-","14","-","$8,311","$116,353","1","Unknown"
"5","3","$59,704","-33.4%","11","-3","$5,428","$1,430,278","4","USA",""
"6","N"," El Ratón Pérez","$54,710","-","19","-","$2,879","$54,710","1","Argentina, Spain"
"7","2","Rise: Blood Hunter","$42,954","-63.9%","16","-3","$2,685","$202,578","2","NZ, USA"
"8","5","Live Free or Die Hard","$29,644","-35.4%","4","-2","$7,411","$1,453,081","5","UK, USA"
"9","8"," Kessat Al Hay Al Shaabi","$23,114","-11.6%","6","+1","$3,852","$62,263","2","Unknown"
"10","4","The Last Legion","$22,022","-65.9%","10","-9","$2,202","$440,096","3","France, Italy, UK"
"11","7","The Number 23","$13,216","-50.3%","3","-1","$4,405","$149,447","3","USA"
"12","10","Ocean's Thirteen","$8,180","-19.5%","2","-","$4,090","$1,022,501","8","Unknown"
"13","11","Shrek the Third","$5,347","-43.5%","2","-","$2,674","$1,395,504","8","USA"
"14","9"," Big Nothing","$4,245","-76.7%","1","-2","$4,245","$31,133","2","Unknown"
"15","16","Next","$2,542","-12.3%","1","-","$2,542","$529,603","6","USA"
"16","12","Harsh Times","$1,828","-77.1%","2","-1","$914","$83,356","3","Unknown"
"17","15"," Shark Bait (a.k.a. The Reef)","$1,646","-65.7%","1","-1","$1,646","$115,278","4","Unknown"
"18","18","Premonition","$1,017","-54.8%","1","-","$1,017","$199,555","5","USA"
"19","13"," Ayazon","$1,005","-84.7%","1","-2","$1,005","$215,765","3","Egypt"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Harry Potter and the Order of the Phoenix","$767,539","-","35","-","$21,930","$767,539","1","Unknown"
"2","N","Rise: Blood Hunter","$118,933","-","19","-","$6,260","$118,933","1","NZ, USA"
"3","2","$89,690","-64.8%","14","-22","$6,406","$1,330,252","3","USA",""
"4","1","The Last Legion","$64,572","-75.1%","19","-8","$3,399","$392,746","2","France, Italy, UK"
"5","3","Live Free or Die Hard","$45,902","-57.6%","6","-11","$7,650","$1,402,561","4","UK, USA"
"6","N"," Grindhouse: Planet Terror","$35,884","-","18","-","$1,994","$35,884","1","USA"
"7","4","The Number 23","$26,566","-62.6%","4","-","$6,642","$121,404","2","USA"
"8","N"," Kessat Al Hay Al Shaabi","$26,131","-","5","-","$5,226","$26,131","1","Unknown"
"9","N"," Big Nothing","$18,227","-","3","-","$6,076","$18,227","1","Unknown"
"10","-","Ocean's Thirteen","$10,155","-23.7%","2","-","$5,078","$1,010,092","7","Unknown"
"11","-","Shrek the Third","$9,460","-40.8%","2","-3","$4,730","$1,385,086","7","USA"
"12","5","Harsh Times","$7,965","-83.9%","3","-9","$2,655","$78,043","2","Unknown"
"13","6"," Ayazon","$6,567","-85.2%","3","-7","$2,189","$210,569","2","Egypt"
"14","7","Lucky You","$5,632","-85.2%","3","-7","$1,877","$57,671","2","Unknown"
"15","8"," Shark Bait (a.k.a. The Reef)","$4,800","-81.8%","2","-7","$2,400","$110,847","3","Unknown"
"16","-","Next","$2,900","+1.9%","1","-","$2,900","$525,752","5","USA"
"17","-","Fantastic Four: Rise of the Silver Surfer","$2,719","-82.3%","1","-2","$2,719","$878,378","6","Germany, UK, USA"
"18","-","Premonition","$2,250","-83.4%","1","-9","$2,250","$197,540","4","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Last Legion","$259,503","-","27","-","$9,611","$259,503","1","France, Italy, UK"
"2","1","$254,834","-64.6%","36","-1","$7,079","$1,155,952","2","USA",""
"3","2","Live Free or Die Hard","$108,369","-58.5%","17","-20","$6,375","$1,314,118","3","UK, USA"
"4","N","The Number 23","$71,005","-","4","-","$17,751","$71,005","1","USA"
"5","N","Harsh Times","$49,347","-","12","-","$4,112","$49,347","1","Unknown"
"6","N"," Ayazon","$44,375","-","10","-","$4,438","$179,925","1","Egypt"
"7","N","Lucky You","$38,023","-","10","-","$3,802","$38,023","1","Unknown"
"8","-"," Shark Bait (a.k.a. The Reef)","$26,324","-44.2%","9","-5","$2,925","$95,400","2","Unknown"
"-","-","Shrek the Third","$15,966","-54.7%","5","-8","$3,193","$1,365,412","6","USA"
"-","-","Fantastic Four: Rise of the Silver Surfer","$15,383","-25.3%","3","-","$5,128","$868,522","5","Germany, UK, USA"
"-","-","Premonition","$13,590","-66.1%","10","-4","$1,359","$189,760","3","USA"
"-","-","Ocean's Thirteen","$13,300","-30.4%","2","-1","$6,650","$993,931","6","Unknown"
"-","-","Miss Potter","$9,332","-63.8%","8","-4","$1,167","$46,666","2","UK, USA"
"-","-","Meet the Robinsons","$3,471","-80.2%","2","-7","$1,736","$125,084","3","USA"
"-","-","Pirates of the Caribbean: At World's End","$3,320","-9.3%","1","-","$3,320","$1,716,451","8","Unknown"
"-","-","Next","$2,847","-87.5%","1","-9","$2,847","$521,734","4","USA"
"-","-"," Wilderness","$197","-78.5%","1","-","$197","$98,996","4","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country"
"1","N","$719,703","-","37","-","$19,451","$719,703","1","USA"
"2","1","Live Free or Die Hard","$261,325","-60.5%","37","-","$7,063","$1,115,911","2"
"-","N"," Shark Bait (a.k.a. The Reef)","$47,147","-","14","-","$3,368","$47,147","1"
"-","-","Premonition","$40,139","-","14","-","$2,867","$160,910","2"
"-","-","Shrek the Third","$35,242","-46.3%","13","-2","$2,711","$1,332,022","5"
"-","N","Miss Potter","$25,809","-","12","-","$2,151","$25,809","1"
"-","-","Next","$22,685","-69.5%","10","-8","$2,269","$506,974","3"
"-","-","Fantastic Four: Rise of the Silver Surfer","$20,602","-68.8%","3","-13","$6,867","$843,574","4"
"-","-","Ocean's Thirteen","$19,102","-34.1%","3","-2","$6,367","$971,973","5"
"-","-","Meet the Robinsons","$17,553","-73.5%","9","-4","$1,950","$112,776","2"
"-","N","Fast Food Nation","$6,462","-","2","-","$3,231","$6,462","1"
"-","-","Pirates of the Caribbean: At World's End","$3,662","-66.2%","1","-2","$3,662","$1,711,562","7"
"-","-"," Al Rahinah (The Hostage)","$3,048","-77.7%","1","-4","$3,048","$54,939","3"
"-","-"," Wilderness","$915","-93.2%","1","-7","$915","$98,021","3"
"-","-","TMNT","$543","-96.3%","1","-6","$543","$104,307","3"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Live Free or Die Hard","$661,722","-","37","-","$17,884","$661,722","1","UK, USA"
"-","1","Next","$74,425","-74.9%","18","-1","$4,135","$452,507","2","USA"
"-","N","Meet the Robinsons","$66,172","-","13","-","$5,090","$66,172","1","USA"
"-","2","Fantastic Four: Rise of the Silver Surfer","$66,126","-59.7%","16","-4","$4,133","$793,046","3","Germany, UK, USA"
"-","3","Shrek the Third","$65,585","-49.9%","15","-5","$4,372","$1,264,888","4","USA"
"-","5","Ocean's Thirteen","$28,992","-58.3%","5","-4","$5,798","$940,076","4","Unknown"
"-","4","Stomp the Yard","$21,205","-79.2%","6","-8","$3,534","$165,013","2","Unknown"
"-","6","TMNT","$14,726","-75.2%","7","-5","$2,104","$97,416","2","HK, USA"
"-","11"," Al Rahinah (The Hostage)","$13,663","-36.2%","5","+2","$2,733","$44,018","2","Unknown"
"-","8"," Wilderness","$13,441","-75.2%","8","-2","$1,680","$89,200","2","Unknown"
"-","10","Pirates of the Caribbean: At World's End","$10,842","-53.4%","3","-2","$3,614","$1,702,491","6","Unknown"
"-","9","It's a Boy Girl Thing","$8,687","-65.0%","1","-3","$8,687","$47,728","2","Canada, UK"
"-","7","Dead Silence","$5,579","-90.0%","4","-14","$1,395","$168,526","3","USA"
"-","13","Blood and Chocolate","$1,024","-75.6%","1","-5","$1,024","$168,526","4","UK"
"-","17","The Good Shepherd","$523","+9.4%","1","-","$523","$165,024","11","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Next","$296,251","-","19","-","$15,592","$296,251","1","USA"
"2","1","Fantastic Four: Rise of the Silver Surfer","$163,925","-59.2%","20","-","$8,196","$674,528","2","Germany, UK, USA"
"3","2","Shrek the Third","$131,016","-44.5%","20","-2","$6,551","$1,148,917","3","USA"
"4","N","Stomp the Yard","$101,983","-","14","-","$7,285","$101,983","1","Unknown"
"5","3","Ocean's Thirteen","$69,592","-62.9%","9","-10","$7,732","$894,595","3","Unknown"
"6","N","TMNT","$59,427","-","12","-","$4,952","$59,427","1","HK, USA"
"7","4","Dead Silence","$55,914","-60.7%","18","-1","$3,106","$252,344","2","USA"
"8","N"," Wilderness","$54,176","-","10","-","$5,418","$54,176","1","Unknown"
"9","N","It's a Boy Girl Thing","$24,830","-","4","-","$6,208","$24,830","1","Canada, UK"
"10","5","Pirates of the Caribbean: At World's End","$23,271","-51.7%","5","-9","$4,654","$1,682,201","5","Unknown"
"11","N"," Al Rahinah (The Hostage)","$21,403","-","3","-","$7,134","$21,403","1","Unknown"
"12","6","Shadowboxer","$7,482","-78.5%","6","-5","$1,247","$55,312","2","Unknown"
"13","7","Blood and Chocolate","$4,199","-84.6%","6","-9","$700","$165,382","3","UK"
"14","9","Spider-Man 3","$3,766","-63.6%","1","-2","$3,766","$2,321,115","8","USA"
"15","14","Bridge to Terabithia","$903","+78.1%","1","-","$903","$243,879","7","USA"
"16","12","Haven","$712","-34.4%","1","-","$712","$38,480","4","Unknown"
"17","13","The Good Shepherd","$478","-45.3%","1","-","$478","$164,259","10","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Fantastic Four: Rise of the Silver Surfer","$401,879","-","20","-","$20,094","$401,879","1","Germany, UK, USA"
"2","1","Shrek the Third","$235,975","-57.8%","22","-7","$10,726","$941,296","2","USA"
"3","2","Ocean's Thirteen","$187,515","-56.5%","19","-","$9,869","$748,263","2","Unknown"
"4","N","Dead Silence","$142,090","-","19","-","$7,478","$142,090","1","USA"
"5","3","Pirates of the Caribbean: At World's End","$48,216","-63.5%","14","-5","$3,444","$1,638,026","4","Unknown"
"6","N","Shadowboxer","$34,767","-","11","-","$3,161","$34,767","1","Unknown"
"7","4","Blood and Chocolate","$27,237","-69.2%","15","-","$1,816","$149,308","2","UK"
"8","5","28 Weeks Later","$22,595","-69.4%","6","-5","$3,766","$127,748","2","Spain, UK"
"9","8","Spider-Man 3","$10,343","-43.8%","3","-1","$3,448","$2,312,941","7","USA"
"10","6","Pathfinder: Legend of the Ghost Warrior","$7,618","-87.6%","4","-15","$1,905","$341,981","3","Canada, USA"
"11","9","Zodiac","$2,733","-82.9%","1","-4","$2,733","$142,688","3","USA"
"12","11","Haven","$1,085","-34.2%","1","-2","$1,085","$37,474","3","Unknown"
"13","14","The Good Shepherd","$874","+71.0%","1","-","$874","$163,454","9","Unknown"
"14","13","Bridge to Terabithia","$507","-60.9%","1","-","$507","$242,847","6","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Shrek the Third","$559,532","-","29","-","$19,294","$559,532","1","USA"
"2","N","Ocean's Thirteen","$431,477","-","19","-","$22,709","$431,477","1","Unknown"
"3","1","Pirates of the Caribbean: At World's End","$132,146","-60.6%","19","-15","$6,955","$1,545,051","3","Unknown"
"4","N","Blood and Chocolate","$88,297","-","15","-","$5,886","$88,297","1","UK"
"5","N","28 Weeks Later","$73,765","-","11","-","$6,706","$73,765","1","Spain, UK"
"6","2","Pathfinder: Legend of the Ghost Warrior","$61,623","-67.4%","19","-","$3,243","$309,627","2","Canada, USA"
"7","3","Black Snake Moan","$23,248","-78.3%","13","-6","$1,788","$166,805","2","Unknown"
"8","5","Spider-Man 3","$18,399","-52.6%","4","-3","$4,600","$2,295,824","6","USA"
