" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"7","7","The Taking of Pelham One, Two, Three","Sony","$20,466","-8.8%","14","-5","$1,462","$689,692","9","UK, USA"
"8","6","G-Force","Disney","$14,208","-46.3%","33","-","$431","$888,864","6","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Final Destination","WB","$165,795","-","16","-","$10,362","$165,795","1","Unknown"
"2","1","The Hangover","WB","$53,897","-23.9%","29","-","$1,859","$1,444,869","7","USA"
"3","3","Up","Disney","$38,989","-15.5%","51","-7","$764","$3,252,129","8","USA"
"4","2","The Ugly Truth","Sony","$38,642","-22.9%","20","-","$1,932","$541,761","5","Unknown"
"5","4","The Time Traveler's Wife","Forum Films","$30,200","-26.6%","14","-","$2,157","$307,517","4","Unknown"
"6","5","G-Force","Disney","$26,473","-5.1%","33","-3","$802","$870,164","5","Unknown"
"7","6","The Taking of Pelham One, Two, Three","Sony","$22,436","-12.4%","19","-","$1,181","$663,605","8","UK, USA"
"8","7","G.I. Joe","UIP","$12,813","-43.0%","21","-4","$610","$255,777","4","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","3","The Hangover","WB","$70,847","-22.5%","29","+1","$2,443","$1,368,098","6","USA"
"2","4","The Ugly Truth","Sony","$50,088","-29.8%","20","-","$2,504","$487,396","4","Unknown"
"3","1","Up","Disney","$46,152","-70.7%","58","-","$796","$3,200,303","7","USA"
"4","5","The Time Traveler's Wife","Forum Films","$41,119","-36.2%","14","-1","$2,937","$267,058","3","Unknown"
"5","2","G-Force","Disney","$27,887","-76.8%","36","-","$775","$838,440","4","Unknown"
"6","8","The Taking of Pelham One, Two, Three","Sony","$25,614","-24.9%","19","-","$1,348","$631,362","7","UK, USA"
"7","6","G.I. Joe","UIP","$22,477","-60.3%","25","-","$899","$235,948","3","Unknown"
"8","9","Harry Potter and the Half Blood Prince","WB","$11,548","-65.6%","26","-10","$444","$2,147,750","8","Unknown"
"9","7","Ice Age: Dawn of the Dinosaurs","Fox","$9,104","-83.7%","30","-3","$303","$3,517,576","10","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Up","Disney","$157,328","-28.9%","58","-","$2,713","$3,117,541","6","USA"
"2","2","G-Force","Disney","$119,973","-22.0%","36","-","$3,333","$774,951","3","Unknown"
"3","3","The Hangover","WB","$91,422","-25.8%","28","-1","$3,265","$1,264,496","5","USA"
"4","6","The Ugly Truth","Sony","$71,330","-22.6%","20","-","$3,567","$417,420","3","Unknown"
"5","5","The Time Traveler's Wife","Forum Films","$64,438","-31.0%","15","-","$4,296","$206,605","2","Unknown"
"6","4","G.I. Joe","UIP","$56,547","-42.4%","25","-","$2,262","$199,072","2","Unknown"
"7","7","Ice Age: Dawn of the Dinosaurs","Fox","$55,792","-21.0%","33","-","$1,691","$3,511,455","9","Unknown"
"8","10","The Taking of Pelham One, Two, Three","Sony","$34,082","-13.9%","19","-","$1,794","$595,695","6","UK, USA"
"9","8","Harry Potter and the Half Blood Prince","WB","$33,607","-30.5%","36","-4","$934","$2,138,983","7","Unknown"
"10","9","The Tale of Despereaux","UIP","$32,172","-19.3%","25","-","$1,287","$426,079","5","UK, USA"
"11","11","The Proposal","Disney","$11,257","-37.7%","13","-2","$866","$1,241,817","11","USA"
"12","12","Ghosts of Girlfriends Past","WB","$9,305","-34.9%","14","-2","$665","$649,335","9","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Up","Disney","$221,108","-17.5%","58","-1","$3,812","$2,784,268","5","USA"
"2","2","G-Force","Disney","$153,809","-21.3%","36","-","$4,272","$520,624","2","Unknown"
"3","3","The Hangover","WB","$123,119","-24.8%","29","-","$4,245","$1,115,454","4","USA"
"4","N","G.I. Joe","UIP","$98,196","-","25","-","$3,928","$98,196","1","Unknown"
"5","N","The Time Traveler's Wife","Forum Films","$93,394","-","15","-","$6,226","$99,589","1","Unknown"
"6","4","The Ugly Truth","Sony","$92,110","-35.2%","20","-","$4,606","$297,932","2","Unknown"
"7","5","Ice Age: Dawn of the Dinosaurs","Fox","$70,650","-7.8%","33","-3","$2,141","$3,395,767","8","Unknown"
"8","6","Harry Potter and the Half Blood Prince","WB","$48,377","-29.7%","40","-8","$1,209","$2,071,515","6","Unknown"
"9","8","The Tale of Despereaux","UIP","$39,858","+10.5%","25","-","$1,594","$353,545","4","UK, USA"
"10","7","The Taking of Pelham One, Two, Three","Sony","$39,588","-36.0%","19","-","$2,084","$542,806","5","UK, USA"
"11","9","The Proposal","Disney","$18,078","-20.9%","15","-1","$1,205","$1,220,997","10","USA"
"12","10","Ghosts of Girlfriends Past","WB","$14,290","-29.2%","16","-2","$893","$633,071","8","USA"
"13","11","Public Enemies","UIP","$10,668","-41.6%","13","+1","$821","$393,145","7","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Up","Disney","$267,894","-15.6%","59","-2","$4,541","$2,337,232","4","USA"
"2","N","G-Force","Disney","$195,426","-","36","-","$5,429","$195,426","1","Unknown"
"3","2","The Hangover","WB","$163,752","-23.9%","29","-","$5,647","$917,595","3","USA"
"4","N","The Ugly Truth","Sony","$142,229","-","20","-","$7,111","$142,229","1","Unknown"
"5","3","Ice Age: Dawn of the Dinosaurs","Fox","$76,598","-43.8%","36","-15","$2,128","$3,257,217","7","Unknown"
"6","4","Harry Potter and the Half Blood Prince","WB","$68,772","-29.3%","48","-1","$1,433","$1,976,832","5","Unknown"
"7","5","The Taking of Pelham One, Two, Three","Sony","$61,883","-8.2%","19","-","$3,257","$473,667","4","UK, USA"
"8","6","The Tale of Despereaux","UIP","$36,062","-34.2%","25","+1","$1,442","$241,963","3","UK, USA"
"9","7","The Proposal","Disney","$22,844","-16.0%","16","+3","$1,428","$1,189,577","9","USA"
"10","8","Ghosts of Girlfriends Past","WB","$20,194","-22.9%","18","-","$1,122","$608,140","7","USA"
"11","10","Public Enemies","UIP","$18,251","+14.9%","12","-7","$1,521","$375,091","6","Unknown"
"12","9","Brüno","Forum Films","$15,271","-38.4%","9","-12","$1,697","$892,830","6","Unknown"
"13","11","UIP","$10,808","-13.8%","9","-","$1,201","$872,383","8","USA",""
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Up","Disney","$317,466","-17.8%","61","-","$5,204","$1,803,957","3","USA"
"2","2","The Hangover","WB","$215,124","-13.0%","29","-","$7,418","$647,936","2","USA"
"3","4","Ice Age: Dawn of the Dinosaurs","Fox","$136,188","-24.8%","51","-6","$2,670","$3,067,799","6","Unknown"
"4","3","Harry Potter and the Half Blood Prince","WB","$97,212","-47.5%","49","-","$1,984","$1,818,336","4","Unknown"
"5","5","The Taking of Pelham One, Two, Three","Sony","$67,386","-15.5%","19","-","$3,547","$374,946","3","UK, USA"
"6","6","The Tale of Despereaux","UIP","$54,839","-0.4%","24","-","$2,285","$174,276","2","UK, USA"
